dimensao,gbests
vinte,0.00171356917382074
vinte,0.00150509338104139
vinte,1.84579612991245
vinte,0.000653251889374224
vinte,7.33764258323279e-15
vinte,0.0502963081514197
vinte,0.277466785134682
vinte,0.00335930593399291
vinte,0.0360476063212896
vinte,0.0312573675611057
vinte,0.252244584765819
vinte,0.235759861176468
vinte,0.694906313985199
vinte,5.30838171902457e-05
vinte,5.7863825978539e-06
vinte,0.00075861847475961
vinte,7.59537302041788e-06
vinte,0.000165177241066295
vinte,0.168871350688142
vinte,20.4151603519454
vinte,4.86271829850063e-06
vinte,0.00453006486830415
vinte,8.02086282489703e-07
vinte,3.12780453530661
vinte,0.00112479043054871
vinte,7.33254248376508e-05
vinte,0.0398687856515491
vinte,2.43430204452797e-05
vinte,0.00383332793276654
vinte,0.0215539990626979
vinte,0.000430651688821394
vinte,4.81374147593946e-05
vinte,5.5021756965553
vinte,0.160215515583717
vinte,0.145689451511962
vinte,0.360514905423166
vinte,0.00223460525813148
vinte,0.000490233496452308
vinte,0.141486639738228
vinte,0.00632640834473537
vinte,0.000267856860735538
vinte,0.0376376842305746
trinta,0.0487505836817454
trinta,0.350038578965441
trinta,0.161677334137485
trinta,2.79458596213812
trinta,0.15248966836294
trinta,0.00835070046423815
trinta,8.99810739533217
trinta,0.133331481631817
trinta,0.401534807514797
trinta,0.51077333806599
trinta,0.0408348066642349
trinta,0.0272399727692463
trinta,18.8869291687103
trinta,0.0565901908795251
trinta,6.40837589861639
trinta,1.2891138449203
trinta,0.445603101619042
trinta,1.74761835089522
trinta,0.47534689055682
trinta,3.86573057990117
trinta,3.40508411994823
trinta,1.88300603434735
trinta,0.453099233884996
trinta,0.739175357390405
trinta,2.32127074778868
trinta,0.797812794776426
trinta,2.35471137319759
trinta,0.643038468824315
trinta,44.6802237161985
trinta,2.19827558095991
trinta,10.4229985684083
trinta,1.55691338509721
trinta,1.40547838852418
trinta,0.982213686600845
trinta,0.00330807997919339
trinta,5.70992123594606
trinta,8.0309894886909
trinta,1.09101592837326
trinta,0.487969171083891
trinta,7.51679790080493
trinta,0.124651810743015
trinta,0.470153320845249
trinta,0.578382559548456
trinta,0.00346301383567414
trinta,0.0405416784747907
trinta,6.52971887594932
trinta,0.257849103848604
trinta,1.30899221105157
trinta,0.924349249837433
trinta,2.9968002179377
trinta,0.0529421110536224
trinta,2.14745683399607
trinta,0.825930534525773
trinta,2.40930485291134
trinta,4.63312750906986
trinta,0.22625447524851
trinta,4.04269955645646
trinta,2.74578334332529
trinta,2.91386564696061
trinta,1.68479927221318
trinta,0.984386314738956
trinta,0.119623087715964
trinta,0.436790879498959
trinta,22.5672672670823
trinta,2.36665345089689
trinta,0.146802492982565
trinta,1.58209444260874
trinta,1.79960488707536
trinta,0.348945746784451
trinta,0.0166659973253639
trinta,0.700029424394686
trinta,1.58223848757516
trinta,0.0920515611638688
trinta,0.123987521596494
trinta,3.69710706583124
trinta,1.93152807229635
trinta,0.0921415802367616
trinta,0.0913527889028568
trinta,0.324659412717606
trinta,1.20950967547547
trinta,1.16433568529434
trinta,1.13703591286486
trinta,0.0985839163920131
trinta,0.373323550998302
trinta,3.10490021851855
trinta,2.35099150906468
trinta,0.662546985828875
trinta,1.15819273368402
trinta,1.59017907057764
trinta,0.108102456275901
trinta,1.19366319685979
trinta,0.177395258190705
trinta,3.29294983204451
trinta,0.219482993308732
trinta,1.67021633503629
trinta,0.0690965653242255
trinta,1.12072389495361
trinta,1.38391535187302
trinta,4.42592562766401
trinta,1.50775024710599
trinta,0.433926657176913
trinta,0.232757512204639
trinta,22.9723514952261
trinta,0.44569066746747
trinta,0.116839805959755
trinta,0.0504574781648094
trinta,1.68126046050761
trinta,11.0217224452091
trinta,0.786977832320617
trinta,0.19344544453265
trinta,1.84846949397535
trinta,11.2733282366323
trinta,4.34481043220244
trinta,3.91779630500564
trinta,1.46161047166243
trinta,0.167611460506063
trinta,0.238479697278875
trinta,0.339091131677698
trinta,0.0335225639028954
trinta,7.1059155288664
trinta,0.00623925309220357
trinta,1.09925871858844
trinta,4.05370792676437
trinta,6.35170569555848
trinta,1.24602617351515
trinta,22.0120328115018
trinta,0.268722404352911
trinta,9.13649704358169
trinta,0.0406947914443378
trinta,2.78505742671028
